Drop Name: IntroVids Nov21
Token Address: 0x0f7F961648aE6Db43C75663aC7E5414Eb79b5704
Dropper Address: 0x5089722613C2cCEe071C39C59e9889641f435F15
Total Amount: 800
Start Date: 2021-11-24 13:00:00
End Date: 2022-11-25 12:59:59.999000

address,amount
0xd36744956bd06cd280be1b27b20d532adb0581a0,100
0x8285af7b8c17758b14afa2781fd6f01c67118966,100
0x3fd0cda80a210e2eb49720998fe80bfaf0e04361,100
0x74d9045b5c18848f9702892ebe28cd2230c6c2cd,100
0x8d5d62099f937fb31e5f5078838836b3dc14eb24,100
0x367742b9f59f78b26327ea7ab4997d38eee0016d,100
0x36c87acd0618b7e19cb3db71f39c381c87e4ee93,100
0x4c9a1e22956075b3f300d494497b49e15dfa3092,100
