Drop Name: FlashTier1
Token Address: 0xB1f1F47061A7Be15C69f378CB3f69423bD58F2F8
Dropper Address: 0x5089722613C2cCEe071C39C59e9889641f435F15
Total Amount: 1217727.7
Start Date: 2022-07-31T23:00:00.000Z
End Date: 2023-08-01T22:59:59.999Z

address,amount
0x4BF4e3a59add035c479CDE89d98103Cb65DCa941,544176.46
0x2c59900B9442b7A865F93219c04f553a0D7BD003,8768.23
0x29b1b7cf7bcfCFF73ac19e5669C6bE8bFC4f9174,6738.77
0xB4dfEBE28B632a6364429367d301A66ef635889A,5208.91
0x5Da9aC2b36FE8415Df9AC15E3fBeE99dE5dC000A,652835.33
