Drop Name: Blockzero Pay
Token Address: 0x0f7F961648aE6Db43C75663aC7E5414Eb79b5704
Dropper Address: 0x5089722613C2cCEe071C39C59e9889641f435F15
Total Amount: 101090.48
Start Date: 2021-11-18 13:00:00
End Date: 2022-11-19 12:59:59.999000

address,amount
0xb4ec3a8299aed31f327a3633854a6d6610434525,36486.49
0x8496d042a44abf31ee457e212d5e6a911a95a8aa,18452.94
0xbac7c13e375ed96ddfe5c36618d4873ecac934dd,18004.38
0x2c6bdf8bd274f2897a6e67c87e7dd375380cbae3,8620.69
0x842f8f6fb524996d0b660621da895166e1cea691,8533.44
0x55e0e4bed3f110a374a19d189057fbf577fc4fe8,6150.98
0xe73c98667c82bb76e58c0d9b065b6a0c9ea2d088,4054.05
0x36ae04bdf0061ddd4c4366d6e6ea2293e7b419b5,787.51
