Drop Name: HypeWave1
Token Address: 0xe73200FfB8ba740A40E208Ea842512E17427bFcc
Dropper Address: 0x0c49b71eD5b87eaCf1a233062B34eC8fccd5a48a
Total Amount: 1529922.07
Start Date: 2022-05-02T23:00:00.000Z
End Date: 2023-05-03T22:59:59.999Z

address,amount
0xa63D1d1CA799E34E2395a405414bD622D4C039b7,293436.66
0x2c59900B9442b7A865F93219c04f553a0D7BD003,237416.18
0x29b1b7cf7bcfCFF73ac19e5669C6bE8bFC4f9174,185505.93
0x4BF4e3a59add035c479CDE89d98103Cb65DCa941,628057.37
0xB4dfEBE28B632a6364429367d301A66ef635889A,185505.93
