Drop Name: Hype Check 003
Token Address: 0xe73200FfB8ba740A40E208Ea842512E17427bFcc
Dropper Address: 0x2734f3A8e8c8038fC5b4B8A159f281B749Be6cBe
Total Amount: 21869.1
Start Date: 2022-07-06T07:00:00.000Z
End Date: 2023-07-07T06:59:59.999Z

address,amount
0xA8d7e4b46EeA82d0E63560bB1B836b2bfd8ca8BC,3644.85
0x8408994a8779FeaD20934E9569B6e89bb4E0d0FD,3644.85
0xb2aDd97Bec09898B71eE8DfeFB509a5552bfCDd3,3644.85
0x98e37896220Eb6a3ca1A9916c5e97da26afC0735,3644.85
0x6d3F1b18CD155ba5Aab0f3467E3CBE9c4a339656,3644.85
0x9F64e6a575F50d7C8c5Aea4BE962f86eE2C5cA31,3644.85
