Drop Name: Hype Check 5 and 6
Token Address: 0xe73200FfB8ba740A40E208Ea842512E17427bFcc
Dropper Address: 0x2734f3A8e8c8038fC5b4B8A159f281B749Be6cBe
Total Amount: 30354.42
Start Date: 2022-07-06T07:00:00.000Z
End Date: 2023-07-07T06:59:59.999Z

address,amount
0x8408994a8779FeaD20934E9569B6e89bb4E0d0FD,6186.57
0xf978c2CbE1eD541419bba845121106334850cfd9,6186.57
0xb2aDd97Bec09898B71eE8DfeFB509a5552bfCDd3,6186.57
0xf1E4D44C598F8e679B2D6aAbDc2F13571dfc5a47,6186.57
0xF814a8e1607Aa1d1a33F42a4c9B3b67eAdCE45bD,5608.14
